customer_id_payment,G,NC-17,PG,PG-13,R
1,3,8,8,6,5
2,4,5,6,7,4
3,5,1,2,5,11
4,7,1,5,5,4
5,3,7,9,7,9
6,4,3,5,8,5
7,4,5,6,6,7
8,5,7,5,3,3
9,6,2,3,6,3
10,5,5,4,4,6
11,5,5,4,4,5
12,7,4,6,5,4
13,4,6,5,6,6
14,0,5,6,6,6
15,5,7,4,8,8
16,4,5,4,7,5
17,5,1,4,4,4
18,4,2,4,4,5
19,2,2,5,5,4
20,5,4,8,4,6
21,5,8,8,4,7
22,3,5,4,2,5
23,3,5,7,7,5
24,7,3,4,4,5
25,4,9,4,5,5
26,6,7,7,6,6
27,10,5,6,6,3
28,3,4,9,7,7
29,8,3,6,12,6
30,9,6,5,6,8
31,6,4,10,4,2
32,5,6,4,6,5
33,1,4,4,7,4
34,2,4,6,5,7
35,2,3,7,8,10
36,1,10,3,6,5
37,3,2,6,3,7
38,2,6,8,10,8
39,8,9,3,7,2
40,3,3,2,7,11
41,5,2,6,11,1
42,4,7,7,8,3
43,2,3,6,6,5
44,3,6,3,6,3
45,6,6,3,5,6
46,5,10,7,7,2
47,2,8,0,2,7
48,2,1,2,5,4
49,4,7,2,8,3
50,8,5,6,7,4
51,10,2,8,8,2
52,3,3,8,6,8
53,5,5,7,6,1
54,6,5,5,8,2
55,6,4,3,3,3
56,6,6,5,5,4
57,5,5,7,6,3
58,6,3,4,6,5
59,5,5,6,7,1
60,1,9,5,6,1
61,2,1,2,5,3
62,4,5,5,4,3
63,5,8,5,4,3
64,4,5,8,9,4
65,3,6,3,3,5
66,2,7,10,8,6
67,5,4,6,1,4
68,3,3,6,6,4
69,5,3,4,5,6
70,2,2,5,4,4
71,5,6,4,6,7
72,3,9,3,7,5
73,4,5,4,4,5
74,8,2,4,7,5
75,6,5,11,5,12
76,3,8,2,4,4
77,0,6,5,5,7
78,5,5,7,7,7
79,2,6,5,4,2
80,5,4,4,11,6
81,3,9,4,2,3
82,6,2,1,8,7
83,4,2,4,8,4
84,5,10,6,6,3
85,4,5,5,2,5
86,7,7,10,2,6
87,4,8,3,7,6
88,6,4,3,4,3
89,4,7,9,4,5
90,4,5,7,8,4
91,5,12,4,7,6
92,8,7,3,6,2
93,3,5,3,3,6
94,5,6,3,2,3
95,3,4,1,5,4
96,6,4,5,7,5
97,2,8,2,4,2
98,2,4,6,9,3
99,3,8,2,5,5
100,4,3,4,6,6
101,4,4,7,2,6
102,6,5,5,5,9
103,4,8,7,4,6
104,7,7,3,5,0
105,2,8,4,6,2
106,4,4,4,5,4
107,1,6,6,6,9
108,8,6,4,4,6
109,2,6,2,3,6
110,0,4,3,2,3
111,9,4,2,3,7
112,4,7,5,7,5
113,4,3,10,4,6
114,8,6,5,4,7
115,5,4,8,6,4
116,5,4,4,7,6
117,4,4,3,0,6
118,4,5,2,5,4
119,2,6,10,9,4
120,5,8,4,6,7
121,2,4,7,7,5
122,3,4,9,7,7
123,5,4,2,4,8
124,1,5,2,3,3
125,4,6,4,7,10
126,2,2,8,6,7
127,7,2,4,3,6
128,4,10,6,5,5
129,5,10,5,3,11
130,5,2,4,7,4
131,9,6,7,2,3
132,5,9,4,2,8
133,5,5,4,8,3
134,3,7,5,2,2
135,4,4,3,5,12
136,4,3,0,5,2
137,2,9,7,10,10
138,8,6,5,6,7
139,8,4,3,6,6
140,2,6,4,3,3
141,6,6,8,7,4
142,2,7,1,5,8
143,4,1,3,7,5
144,5,9,11,10,5
145,6,4,9,2,6
146,5,4,5,5,8
147,6,13,4,4,5
148,8,5,12,7,13
149,6,4,4,7,4
150,5,7,3,5,2
151,5,5,6,5,4
152,5,2,4,4,4
153,3,7,5,5,4
154,4,5,5,6,7
155,6,3,4,7,4
156,5,4,6,7,1
157,4,9,5,4,7
158,5,6,5,10,4
159,3,4,1,4,5
160,8,5,6,5,3
