customer_id,rental_count,avg_rental_duration_days,distinct_categories_rented,favourite_category,most_common_rental_dow
148,46,5.28,14,Sci-Fi,6
526,45,5.87,15,Animation,6
144,42,5.6,16,Drama,5
236,41,5.02,15,Foreign,4
469,40,5.53,14,Games,4
197,40,4.9,15,Comedy,3
137,39,5.88,15,Games,1
468,39,5.59,16,Animation,3
459,38,5.02,13,Comedy,2
178,38,5.64,14,Documentary,3
75,38,5.0,16,Family,4
176,37,5.69,13,Animation,4
295,37,5.98,15,Family,5
257,37,4.91,13,Documentary,3
5,37,5.07,15,Classics,0
198,37,4.56,15,Documentary,5
410,37,5.34,13,Action,3
380,36,5.25,14,Foreign,1
348,36,5.22,14,Action,4
439,36,4.96,14,Family,3
366,36,5.56,15,Sci-Fi,1
381,35,4.43,13,Travel,4
196,35,4.75,13,Animation,3
50,35,5.47,14,Drama,0
273,35,5.24,14,Sci-Fi,3
403,35,4.52,15,Foreign,5
204,35,4.37,16,Foreign,4
506,35,5.3,14,Action,3
371,35,4.96,15,Sports,3
368,35,4.82,16,Animation,3
29,35,4.75,15,Children,4
91,34,5.24,15,Comedy,4
267,34,5.2,14,New,3
119,34,5.27,14,Sci-Fi,3
21,34,5.56,15,Sci-Fi,4
566,34,5.14,16,Action,4
26,34,5.31,14,Documentary,0
274,34,5.19,15,Documentary,4
30,34,5.22,15,Drama,5
207,34,5.85,15,Games,3
38,34,5.07,13,Children,3
354,34,5.02,13,Documentary,3
360,34,5.25,14,New,6
46,34,4.12,15,Animation,5
241,34,4.82,14,New,6
372,34,4.95,14,Action,6
373,34,5.7,14,Animation,4
239,34,4.32,15,Animation,2
66,34,5.22,15,Classics,1
502,34,4.87,14,Documentary,4
147,34,5.0,13,Action,5
138,34,4.11,14,Sports,6
473,34,4.47,15,Foreign,5
129,34,5.0,15,Children,4
86,33,4.54,15,Drama,3
172,33,5.44,13,Action,5
297,33,4.94,13,Sci-Fi,3
211,33,5.44,14,Music,4
390,33,4.9,13,Animation,4
237,33,5.41,15,Classics,3
522,33,5.9,16,Games,5
451,33,4.89,14,Sci-Fi,3
7,33,5.61,14,Animation,3
102,33,5.52,14,Sci-Fi,4
454,33,4.88,16,Sports,0
230,33,4.99,13,Sci-Fi,3
314,33,4.79,15,Sports,3
462,33,5.29,15,Animation,4
51,33,5.05,13,Action,3
84,33,4.41,14,Animation,5
181,33,6.0,15,Family,6
168,33,5.61,13,Foreign,5
114,32,3.97,15,Foreign,4
406,32,4.5,13,Animation,1
141,32,4.44,12,Children,1
89,32,5.47,15,Action,3
125,32,5.15,13,Documentary,4
442,32,4.56,15,Animation,5
346,32,5.13,13,Family,3
535,32,5.06,15,Sci-Fi,3
533,32,5.13,13,Sports,4
362,32,5.19,14,Sports,2
342,32,4.48,12,Classics,6
35,32,5.16,13,Action,3
122,32,4.57,12,Horror,1
242,32,5.43,13,New,3
209,32,5.4,13,Action,5
569,32,4.68,14,Sports,3
470,32,5.16,13,Action,3
329,32,5.11,13,Music,3
520,32,5.48,15,Drama,1
254,32,4.39,14,Sci-Fi,4
64,32,4.65,14,Documentary,6
438,32,4.95,15,Animation,3
503,32,4.18,14,Sci-Fi,3
128,32,4.87,13,Animation,1
1,32,4.47,14,Classics,3
306,32,5.14,13,Sci-Fi,5
167,32,3.53,16,Music,4
277,32,4.86,14,Sports,4
259,32,5.91,14,Sports,0
158,32,4.81,15,Animation,4
576,32,4.81,13,New,0
244,31,5.59,13,Comedy,6
260,31,4.93,13,Music,2
27,31,5.36,13,Foreign,0
28,31,4.39,16,Drama,5
550,31,4.96,15,Family,1
532,31,6.29,14,Classics,3
513,31,5.42,13,Comedy,1
78,31,5.71,12,Sports,6
494,31,5.22,14,Sports,6
103,31,5.28,15,Animation,4
452,31,4.69,14,Action,5
446,31,4.92,13,Foreign,3
120,31,5.37,13,Action,3
416,31,4.9,15,Action,4
405,31,5.48,13,Documentary,3
393,31,5.66,14,Action,6
157,31,4.31,14,Documentary,5
340,31,4.68,13,New,3
210,31,5.27,13,New,1
323,31,4.85,12,Action,3
309,31,5.12,13,Action,4
293,31,5.65,13,Sports,5
245,31,5.3,15,Animation,3
15,30,4.91,13,Foreign,6
161,30,4.25,14,Foreign,5
408,30,4.74,11,Children,2
214,30,4.67,15,Children,4
479,30,5.66,14,Comedy,3
499,30,4.91,15,Classics,3
20,30,4.97,14,New,4
131,30,4.44,15,Action,3
279,30,5.25,11,Sci-Fi,1
72,30,4.29,14,Action,0
339,30,5.35,11,Sports,1
71,30,4.62,14,Music,4
251,30,4.46,13,Sci-Fi,4
436,30,6.3,14,Animation,3
347,30,5.07,13,Games,4
356,30,4.98,11,Foreign,2
289,30,5.5,14,Foreign,5
186,30,4.4,12,Classics,6
299,30,5.0,12,Drama,5
112,30,4.94,13,Classics,5
584,30,5.54,14,Comedy,5
484,30,5.12,16,Drama,3
404,30,5.5,13,Animation,2
418,30,4.66,15,Foreign,0
300,30,5.13,15,Action,5
307,30,5.25,15,Action,5
444,30,5.07,15,Family,4
154,30,4.68,14,Sci-Fi,5
256,30,4.64,14,Comedy,3
391,30,4.64,14,Sci-Fi,3
275,30,4.73,16,Family,5
595,30,4.94,16,Documentary,6
319,30,5.57,15,Games,3
268,29,5.07,14,Children,3
467,29,4.87,16,Children,4
135,29,5.49,15,Children,3
472,29,5.48,12,Music,3
87,29,4.93,13,Action,5
253,29,5.4,14,Animation,6
481,29,4.1,13,Games,2
146,29,5.26,14,Music,0
482,29,4.51,14,Foreign,4
485,29,5.61,14,Animation,2
397,29,4.54,14,Drama,2
424,29,4.4,13,Drama,5
80,29,5.41,15,New,0
388,29,5.38,14,Action,3
386,29,5.3,12,Children,6
588,29,4.71,11,Classics,6
173,29,4.61,13,Documentary,6
529,29,5.44,13,Sci-Fi,5
56,29,5.47,14,Classics,3
179,29,4.97,14,Family,6
54,29,4.42,12,Animation,4
363,29,5.16,14,Action,0
361,29,4.75,12,Foreign,5
538,29,4.79,14,Sports,6
39,29,5.55,15,Action,4
563,29,5.05,14,Horror,0
336,29,4.2,13,Animation,3
32,29,4.97,13,Family,5
334,29,4.92,11,Foreign,3
575,29,4.42,13,Music,3
565,29,4.77,16,Family,5
25,29,4.47,14,Action,3
23,29,4.92,12,Sci-Fi,3
316,29,5.3,13,Sci-Fi,3
573,29,5.22,15,Documentary,0
302,29,5.3,13,Animation,3
265,29,5.16,13,Children,3
296,29,4.73,15,Sports,4
115,29,4.74,13,Classics,1
113,29,5.11,16,Documentary,6
447,29,4.79,13,Action,5
108,29,4.65,13,Comedy,3
337,28,5.92,13,Sci-Fi,5
126,28,4.99,11,Action,3
266,28,4.93,13,Drama,3
90,28,5.26,12,Animation,5
276,28,4.84,15,Documentary,0
290,28,5.17,14,Horror,4
332,28,5.92,14,Drama,6
107,28,5.24,11,Sci-Fi,4
500,28,4.98,13,New,3
92,28,5.21,13,Drama,4
166,28,4.63,14,Classics,6
574,28,4.97,14,Children,5
16,28,4.53,13,Sports,5
269,28,4.69,12,Documentary,2
322,28,4.97,14,Action,4
77,28,5.34,12,Classics,4
132,28,4.59,12,Animation,4
263,28,4.64,14,Sci-Fi,3
287,28,5.22,11,Animation,6
221,28,5.61,15,Drama,4
283,28,3.98,14,Animation,4
400,28,5.32,16,Comedy,3
53,28,4.65,13,Classics,3
52,28,5.48,14,Comedy,1
262,28,4.81,15,Family,1
49,28,4.89,13,Family,3
12,28,5.28,12,Drama,1
57,28,5.09,12,Action,4
187,28,6.46,14,Classics,4
592,28,5.02,13,Family,2
589,28,4.91,14,Comedy,6
42,28,4.96,15,Sci-Fi,6
349,28,5.29,12,Foreign,1
558,28,5.98,13,Comedy,5
515,28,5.2,13,Classics,4
