film_id,title,category,total_copies,total_rentals,total_revenue,avg_rental_rate,turnover_rate
492,Jungle Closer,New,2,13,23.880000000000003,0.99,6.5
393,Halloween Nuts,Documentary,2,10,29.92,2.99,5.0
368,Gone Trouble,Drama,2,10,29.92,2.99,5.0
28,Anthem Luke,Comedy,3,15,63.89,4.99,5.0
792,Shrek License,Foreign,3,15,37.88,2.99,5.0
29,Antitrust Tomatoes,Action,2,10,27.93,2.99,5.0
422,Hollow Jeopardy,Sci-Fi,2,10,39.92,4.99,5.0
872,Sweet Brotherhood,Travel,3,15,58.89,2.99,5.0
613,Mystic Truman,Comedy,2,10,17.92,0.99,5.0
82,Blood Argonauts,Family,2,10,30.93,0.99,5.0
279,Elizabeth Shane,Sports,2,10,36.93,4.99,5.0
539,Luck Opus,Drama,2,10,21.93,2.99,5.0
543,Madigan Dorado,Travel,2,10,48.92,4.99,5.0
522,Life Twisted,Comedy,2,10,37.92,2.99,5.0
535,Love Suicides,Horror,4,20,22.85,0.99,5.0
375,Grail Frankenstein,Action,2,10,40.92,2.99,5.0
442,Hunting Musketeers,Family,3,15,40.88,2.99,5.0
770,Scissorhands Slums,Foreign,3,15,42.88,2.99,5.0
775,Seattle Expecations,Drama,5,24,125.8,4.99,4.8
48,Backlash Undefeated,Children,4,19,140.84,4.99,4.75
396,Hanging Deep,Drama,4,19,92.85,4.99,4.75
426,Home Pity,Music,3,14,66.88,4.99,4.67
756,Saddle Antitrust,Comedy,3,14,32.89,2.99,4.67
493,Kane Exorcist,Foreign,3,14,13.879999999999999,0.9899999999999999,4.67
277,Elephant Trojan,Horror,3,14,64.9,4.99,4.67
395,Handicap Boondock,Action,6,28,50.760000000000005,0.9899999999999999,4.67
968,Werewolf Lola,Action,3,14,68.88,4.99,4.67
646,Outbreak Divine,Games,5,23,31.82,0.99,4.6
271,Easy Gladiator,Action,5,23,132.8,4.99,4.6
961,Wash Heavenly,Foreign,5,23,104.80000000000001,4.99,4.6
8,Airport Pollock,Horror,4,18,86.85,4.99,4.5
435,Hotel Happiness,Foreign,2,9,41.92,4.99,4.5
474,Jade Bunch,Sports,4,18,53.85,2.99,4.5
998,Zhivago Core,Horror,2,9,10.93,0.99,4.5
425,Holy Tadpole,Classics,2,9,17.92,0.99,4.5
984,Wonderful Drop,Foreign,2,9,46.92,2.99,4.5
688,Polish Brooklyn,Children,4,18,18.85,0.99,4.5
454,Impact Aladdin,Music,2,9,18.92,0.99,4.5
958,Wardrobe Phantom,Drama,6,27,80.77000000000001,2.99,4.5
466,Intolerable Intentions,Documentary,2,9,39.93,4.99,4.5
355,Ghostbusters Elf,Animation,2,9,8.93,0.99,4.5
685,Platoon Instinct,New,2,9,40.92,4.99,4.5
230,Diary Panic,Drama,2,9,24.92,2.99,4.5
264,Dwarfs Alter,Games,2,9,28.92,2.99,4.5
582,Miracle Virtual,Animation,2,9,41.92,2.99,4.5
603,Movie Shakespeare,Family,6,27,125.78,4.99,4.5
515,Legally Secretary,Children,2,9,39.92,4.99,4.5
565,Matrix Snowman,Foreign,2,9,40.92,4.99,4.5
499,King Evolution,Family,2,9,59.92,4.99,4.5
826,Speed Suit,Travel,2,9,44.92,4.99,4.5
211,Darling Breaking,Games,2,9,44.92,4.99,4.5
971,Whale Bikini,Foreign,4,18,113.85,4.99,4.5
30,Anything Savannah,Horror,2,9,43.92,2.99,4.5
721,Reds Pocus,Music,2,9,47.92,4.99,4.5
891,Timberland Sky,Classics,7,31,102.74000000000001,0.99,4.43
735,Robbers Joon,Children,7,31,85.74000000000001,2.9899999999999998,4.43
26,Annie Identity,Sci-Fi,5,22,50.81,0.99,4.4
142,Chicken Hellfighters,Documentary,5,22,58.81,0.99,4.4
898,Tourist Pelican,Sports,5,22,126.81,4.99,4.4
54,Banger Pinocchio,Music,5,22,40.800000000000004,0.99,4.4
59,Bear Graceland,Children,5,22,93.81,2.99,4.4
487,Jingle Sagebrush,Classics,3,13,59.89,4.99,4.33
445,Hyde Doctor,Classics,6,26,95.76,2.99,4.33
938,Velvet Terminator,Comedy,6,26,152.77,4.99,4.33
307,Fellowship Autumn,Travel,6,26,137.76,4.99,4.33
639,Opposite Necklace,Family,3,13,56.89,4.99,4.33
