title,category,rental_rate,replacement_cost,total_rentals,total_revenue,revenue_per_rental
Hustler Party,Comedy,4.99,22.99,22,190.78,8.6718
Tycoon Gathering,Games,4.99,17.99,12,103.88,8.6567
Paths Control,Drama,4.99,9.99,10,81.9,8.19
Telegraph Voyage,Music,4.99,20.99,27,215.75,7.9907
Flintstones Happiness,Comedy,4.99,11.99,17,134.83,7.9312
Daughter Madigan,Children,4.99,13.99,9,69.91,7.7678
Silverado Goldfinger,Sci-Fi,4.99,11.99,12,91.88,7.6567
Virtual Spoilers,Family,4.99,14.99,14,105.87,7.5621
Ace Goldfinger,Horror,4.99,12.99,7,52.93,7.5614
Trap Guys,Foreign,4.99,11.99,16,119.85,7.4906
Caribbean Liberty,Sports,4.99,16.99,9,66.92,7.4356
Panic Club,Horror,4.99,15.99,7,51.93,7.4186
Backlash Undefeated,Children,4.99,24.99,19,140.84,7.4126
Innocent Usual,Foreign,4.99,26.99,26,191.74,7.3746
Mine Titans,New,4.99,12.99,19,138.83,7.3068
Bilko Anonymous,Family,4.99,25.99,13,94.88,7.2985
Minds Truman,Action,4.99,22.99,20,144.81,7.2405
Satisfaction Confidential,Sports,4.99,26.99,17,122.84,7.2259
Sting Personal,New,4.99,9.99,21,149.8,7.1333
Fool Mockingbird,Action,4.99,24.99,23,162.79,7.0778
Secrets Paradise,Family,4.99,24.99,20,139.82,6.991
Pittsburgh Hunchback,Family,4.99,17.99,12,83.89,6.9908
Scorpion Apollo,Drama,4.99,23.99,23,158.79,6.9039
Casualties Encino,Action,4.99,16.99,9,61.92,6.88
Waterfront Deliverance,Action,4.99,17.99,17,116.84,6.8729
Magnificent Chitty,Classics,2.99,27.99,8,54.92,6.865
Sense Greek,Sports,4.99,23.99,7,47.93,6.8471
Memento Zoolander,Comedy,4.99,11.99,13,88.87,6.8362
Saturday Lambs,Sports,4.99,28.99,28,190.74,6.8121
Autumn Crow,Games,4.99,13.99,11,74.9,6.8091
Birch Antitrust,Music,4.99,18.99,11,74.89,6.8082
Amelie Hellfighters,Music,4.99,23.99,10,67.9,6.79
Fever Empire,Games,4.99,20.99,5,33.95,6.79
Details Packer,Games,4.99,17.99,19,128.82,6.78
Gold River,Comedy,4.99,21.99,14,94.86,6.7757
Spartacus Cheaper,Family,4.99,19.99,9,60.91,6.7678
Behavior Runaway,Horror,4.99,20.99,13,87.89,6.7608
Bright Encounters,Drama,4.99,12.99,13,87.88,6.76
Flash Wars,New,4.99,21.99,13,87.88,6.76
Conversation Downhill,Family,4.99,14.99,17,114.83,6.7547
Garden Island,Sci-Fi,4.99,21.99,20,134.82,6.741
Command Darling,Foreign,4.99,28.99,16,107.84,6.74
Thin Sagebrush,Documentary,4.99,9.99,11,73.89,6.7173
Dawn Pond,Games,4.99,27.99,18,120.83,6.7128
Day Unfaithful,New,4.99,16.99,14,93.88,6.7057
Lady Stage,Horror,4.99,14.99,17,113.84,6.6965
American Circus,Action,4.99,17.99,22,146.81,6.6732
King Evolution,Family,4.99,24.99,9,59.92,6.6578
Jersey Sassy,Children,4.99,16.99,6,39.94,6.6567
Terminator Club,Music,4.99,11.99,6,39.94,6.6567
Heartbreakers Bright,Children,4.99,9.99,20,132.8,6.64
Darko Dorado,Action,4.99,13.99,11,72.9,6.6273
Clerks Angels,Documentary,4.99,15.99,7,45.94,6.5629
Titanic Boondock,Animation,4.99,18.99,23,149.78,6.5122
Sunrise League,Animation,4.99,19.99,24,155.78,6.4908
Head Stranger,Games,4.99,28.99,22,142.79,6.4905
Wonderland Christmas,Sci-Fi,4.99,19.99,22,142.79,6.4905
Italian African,Travel,4.99,24.99,6,38.94,6.49
Fiddler Lost,Sci-Fi,4.99,20.99,10,64.9,6.49
Teen Apollo,Travel,4.99,25.99,17,109.86,6.4624
Lola Agent,Horror,4.99,24.99,24,154.77,6.4488
Whisperer Giant,Sci-Fi,4.99,24.99,22,141.8,6.4455
Zorro Ark,Comedy,4.99,18.99,31,199.72,6.4426
Titans Jerk,Sci-Fi,4.99,11.99,29,186.73,6.439
Suit Walls,Games,4.99,12.99,21,134.81,6.4195
Wife Turn,Documentary,4.99,27.99,31,198.73,6.4106
Pelican Comforts,Documentary,4.99,17.99,26,165.77,6.3758
Maiden Home,New,4.99,9.99,24,152.78,6.3658
Attacks Hate,Sci-Fi,4.99,21.99,16,101.84,6.365
Paycheck Wait,Drama,4.99,27.99,16,101.84,6.365
Something Duck,Drama,4.99,17.99,19,120.82,6.3589
Ties Hunger,Children,4.99,28.99,11,69.91,6.3555
Beast Hunchback,Classics,4.99,22.99,11,69.9,6.3545
Whale Bikini,Foreign,4.99,11.99,18,113.85,6.325
Graceland Dynamite,Sports,4.99,26.99,6,37.94,6.3233
Rage Games,Family,4.99,18.99,19,119.81,6.3058
Torque Bound,Drama,4.99,27.99,27,169.76,6.2874
Moonshine Cabin,Games,4.99,25.99,21,131.8,6.2762
Secretary Rouge,Sports,4.99,10.99,18,112.82,6.2678
Doors President,Animation,4.99,22.99,19,118.82,6.2537
Desert Poseidon,Horror,4.99,27.99,19,118.81,6.2532
Train Bunch,Horror,4.99,26.99,4,24.96,6.24
League Hellfighters,Classics,4.99,25.99,17,105.83,6.2253
Seven Swarm,Games,4.99,15.99,5,30.95,6.19
Hall Cassidy,Children,4.99,13.99,16,98.84,6.1775
Strangers Graffiti,Horror,4.99,22.99,17,104.86,6.1682
Breakfast Goldfinger,New,4.99,18.99,17,104.84,6.1671
Mission Zoolander,Animation,4.99,26.99,18,110.84,6.1578
California Birds,Sports,4.99,19.99,12,73.89,6.1575
Ishtar Rocketeer,Animation,4.99,24.99,7,42.94,6.1343
Eagles Panky,New,4.99,14.99,22,134.81,6.1277
Park Citizen,Action,4.99,14.99,8,48.94,6.1175
Gosford Donnie,Action,4.99,17.99,8,48.92,6.115
Ali Forever,Horror,4.99,21.99,9,54.91,6.1011
Monsoon Cause,Games,4.99,20.99,9,54.91,6.1011
Road Roxanne,Documentary,4.99,12.99,19,115.83,6.0963
Twisted Pirates,Children,4.99,23.99,11,66.89,6.0809
Super Wyoming,Family,4.99,10.99,13,78.88,6.0677
Kissing Dolls,Action,4.99,9.99,20,120.83,6.0415
Sabrina Midnight,Children,4.99,11.99,21,126.79,6.0376
Pinocchio Simon,Comedy,4.99,21.99,20,119.82,5.991
