category,total_rentals,total_revenue,avg_payment,avg_rental_rate,revenue_per_rental,film_count,unique_customers,rev_score,rent_score,priority_score,recommendation_priority
Sports,1081,4892.19,4.5256,3.0807,4.5256,73,507,1.0,1.0,1.0,High Priority
Animation,1065,4245.31,3.9862,2.7477,3.9862,64,480,0.6447022250050809,0.9516616314199395,0.7675,High Priority
Sci-Fi,998,4336.01,4.3447,2.998,4.3447,59,490,0.6945190506791459,0.7492447129909365,0.7164,High Priority
Action,1013,3951.84,3.9011,2.6563,3.9011,61,498,0.483514310665854,0.7945619335347432,0.6079,Medium Priority
Drama,953,4118.46,4.3216,3.1726,4.3216,61,475,0.5750300713473613,0.6132930513595166,0.5903,Medium Priority
Family,988,3830.15,3.8767,2.7086,3.8767,67,475,0.4166762785128553,0.7190332326283988,0.5376,Medium Priority
Foreign,953,3934.47,4.1285,2.9606,4.1285,67,476,0.47397386676333436,0.6132930513595166,0.5297,Medium Priority
Documentary,937,3749.65,4.0018,2.6079,4.0018,63,465,0.37246178604579644,0.5649546827794562,0.4495,Medium Priority
Games,884,3922.18,4.4369,3.1438,4.4369,58,456,0.46722360449724554,0.40483383685800606,0.4423,Medium Priority
Comedy,851,4002.48,4.7033,3.2979,4.7033,56,477,0.5113282472935788,0.30513595166163143,0.4289,Medium Priority
New,860,3966.38,4.5907,3.0618,4.5907,60,446,0.49150038172760596,0.3323262839879154,0.4278,Medium Priority
Classics,860,3353.38,3.8993,2.6412,3.8993,54,450,0.1548111409536051,0.3323262839879154,0.2258,Low Priority
Children,861,3309.39,3.8437,2.6857,3.8437,58,462,0.1306497058775066,0.33534743202416917,0.2125,Low Priority
Horror,773,3401.27,4.4001,3.0909,4.4001,53,436,0.18111464460885282,0.06948640483383686,0.1365,Low Priority
Travel,765,3227.36,4.2188,3.3063,4.2188,53,428,0.08559486342939697,0.045317220543806644,0.0695,Low Priority
Music,750,3071.52,4.0954,3.0407,4.0954,51,431,0.0,0.0,0.0,Low Priority
