category,total_rentals,total_revenue,avg_payment,avg_rental_rate,revenue_per_rental,film_count,unique_customers
Sports,1081,4892.19,4.5256,3.0807,4.5256,73,507
Sci-Fi,998,4336.01,4.3447,2.998,4.3447,59,490
Animation,1065,4245.31,3.9862,2.7477,3.9862,64,480
Drama,953,4118.46,4.3216,3.1726,4.3216,61,475
Comedy,851,4002.48,4.7033,3.2979,4.7033,56,477
New,860,3966.38,4.5907,3.0618,4.5907,60,446
Action,1013,3951.84,3.9011,2.6563,3.9011,61,498
Foreign,953,3934.47,4.1285,2.9606,4.1285,67,476
Games,884,3922.18,4.4369,3.1438,4.4369,58,456
Family,988,3830.15,3.8767,2.7086,3.8767,67,475
Documentary,937,3749.65,4.0018,2.6079,4.0018,63,465
Horror,773,3401.27,4.4001,3.0909,4.4001,53,436
Classics,860,3353.38,3.8993,2.6412,3.8993,54,450
Children,861,3309.39,3.8437,2.6857,3.8437,58,462
Travel,765,3227.36,4.2188,3.3063,4.2188,53,428
Music,750,3071.52,4.0954,3.0407,4.0954,51,431
