inventory_id,store_id,film_id,title,rental_rate,replacement_cost,category,rental_count,total_revenue,last_rental_date
5,2,1,Academy Dinosaur,0.99,20.99,Documentary,0,0.0,
2786,1,611,Musketeers Wait,4.99,17.99,Classics,1,4.99,2005-07-29
3372,2,739,Rocky War,4.99,17.99,Drama,1,7.99,2005-07-30
2662,1,584,Mixed Doors,2.99,26.99,Foreign,1,2.99,2005-07-28
1580,2,346,Galaxy Sweethearts,4.99,13.99,Classics,1,6.99,2005-08-01
4374,2,953,Wait Cider,0.99,9.99,Animation,2,10.98,2005-08-18
2719,2,596,Moonshine Cabin,4.99,25.99,Games,2,19.98,2005-08-19
1140,2,252,Dream Pickup,2.99,18.99,Action,2,5.98,2005-08-20
519,1,115,Campus Remember,2.99,27.99,Action,2,5.98,2005-08-17
2349,2,511,Lawrence Love,0.99,23.99,Action,2,3.98,2005-08-22
4048,2,881,Temple Attraction,4.99,13.99,Horror,2,13.98,2005-08-23
1865,1,407,Hawk Chill,0.99,12.99,Documentary,2,1.98,2005-08-18
1045,1,233,Disciple Mother,0.99,17.99,Travel,2,2.98,2005-08-18
2044,2,444,Hustler Party,4.99,22.99,Comedy,2,20.98,2005-08-19
2493,2,546,Madre Gables,2.99,27.99,Games,2,6.98,2005-08-21
4328,1,944,Virgin Daisy,4.99,29.99,Drama,2,9.98,2005-08-22
960,2,214,Daughter Madigan,4.99,13.99,Children,2,17.98,2005-08-19
2615,1,573,Microcosmos Paradise,2.99,22.99,Children,2,5.98,2005-08-21
1196,2,266,Dynamite Tarzan,0.99,27.99,Classics,2,7.98,2005-08-17
1365,1,301,Family Sweet,0.99,24.99,Horror,2,2.98,2005-08-23
2396,1,524,Lion Uncut,0.99,13.99,Comedy,2,2.98,2005-08-23
1705,1,371,Gosford Donnie,4.99,17.99,Action,2,12.98,2005-08-18
1542,2,337,Frida Slipper,2.99,11.99,Foreign,2,7.98,2005-08-23
3943,2,859,Sugar Wonka,4.99,20.99,Animation,2,10.98,2005-08-20
2107,1,457,Independence Hotel,0.99,21.99,Documentary,2,5.98,2005-08-22
4194,2,912,Trojan Tomorrow,2.99,9.99,Sci-Fi,2,10.98,2005-08-19
1171,2,260,Dude Blindness,4.99,9.99,Sports,2,10.98,2005-08-19
3955,2,862,Summer Scarface,0.99,25.99,Classics,2,2.98,2005-08-21
2644,2,579,Minds Truman,4.99,22.99,Action,2,20.98,2005-08-20
1597,1,350,Garden Island,4.99,21.99,Sci-Fi,2,18.98,2005-08-20
429,1,95,Breakfast Goldfinger,4.99,18.99,New,2,11.98,2005-08-19
4545,2,992,Wrath Mile,0.99,17.99,Documentary,2,1.98,2005-08-19
1898,1,413,Hedwig Alter,2.99,16.99,Comedy,2,5.98,2005-08-17
2420,1,528,Lolita World,2.99,25.99,Family,2,12.98,2005-08-18
1892,2,412,Heavyweights Beast,4.99,25.99,Documentary,2,9.98,2005-08-21
3705,2,810,Slums Duck,0.99,21.99,Family,2,4.98,2005-08-21
3896,1,851,Straight Hours,0.99,19.99,Sports,2,2.98,2005-08-19
4410,1,964,Waterfront Deliverance,4.99,17.99,Action,2,11.98,2005-08-19
2112,1,458,Indian Love,0.99,26.99,Family,2,6.98,2005-08-23
3873,2,846,Sting Personal,4.99,9.99,New,2,13.98,2005-08-18
255,1,57,Basic Easy,2.99,18.99,Travel,2,5.98,2005-08-17
885,1,196,Cruelty Unforgiven,0.99,29.99,Classics,2,1.98,2005-08-21
4313,2,939,Vertigo Northwest,2.99,17.99,Comedy,2,13.98,2005-08-18
3008,2,660,Party Knock,2.99,11.99,Comedy,2,5.98,2005-08-21
1832,2,397,Hanky October,2.99,26.99,Sci-Fi,2,8.98,2005-08-23
3027,2,664,Patriot Roman,2.99,12.99,Action,2,7.98,2005-08-20
1709,1,373,Graduate Lord,2.99,14.99,Children,2,5.98,2005-08-19
